country,cell_id,radio,lon,lat,year,net,mcc,population
Spain,260,GSM,-3.055,43.311,2020,3,214,1194.8153009
Spain,261,GSM,-3.055,43.313,2020,1,214,1090.6605027
Spain,262,GSM,-3.055,43.343,2020,1,214,2365.933582
Spain,263,GSM,-3.054,43.309,2020,1,214,1201.0889515000001
Spain,264,GSM,-3.054,43.312,2020,3,214,1136.6523544
Spain,265,GSM,-3.054,43.32,2020,3,214,1444.8403784
Spain,266,GSM,-3.054,43.321,2020,1,214,1479.1649265
Spain,267,GSM,-3.053,43.286,2020,1,214,304.64088416
Spain,268,GSM,-3.053,43.322,2020,7,214,1629.9540266
Spain,269,GSM,-3.053,43.364,2020,7,214,11.786658749999999
Spain,270,GSM,-3.052,43.325,2020,4,214,1190.3628796
Spain,271,GSM,-3.051,43.308,2020,7,214,1031.7940199
Spain,272,GSM,-3.051,43.309,2020,1,214,1066.2460891
Spain,273,GSM,-3.05,43.309,2020,3,214,944.7713929
Spain,274,GSM,-3.05,43.31,2020,1,214,945.6404296
Spain,275,GSM,-3.05,43.314,2020,3,214,729.2676671
Spain,276,GSM,-3.049,43.201,2020,1,214,699.5619393
Spain,277,GSM,-3.049,43.309,2020,3,214,946.5105026
Spain,278,GSM,-3.049,43.353,2020,4,214,0.0
Spain,279,GSM,-3.048,43.316,2020,1,214,1767.3440106
Spain,281,GSM,-3.047,43.202,2020,3,214,801.40865174
Spain,282,GSM,-3.047,43.306,2020,4,214,983.2388742
Spain,283,GSM,-3.047,43.306,2020,7,214,983.2388742
Spain,284,GSM,-3.047,43.318,2020,4,214,2353.3798672
Spain,285,GSM,-3.047,43.336,2020,1,214,5157.734703
Spain,286,GSM,-3.047,43.34,2020,7,214,5635.852446
Spain,287,GSM,-3.046,43.306,2020,1,214,1017.9231276
Spain,288,GSM,-3.046,43.308,2020,3,214,1090.8116954
Spain,289,GSM,-3.046,43.309,2020,3,214,1092.6740925
Spain,290,GSM,-3.046,43.314,2020,7,214,1365.724019
Spain,291,GSM,-3.046,43.315,2020,1,214,1680.1267239
Spain,292,GSM,-3.046,43.315,2020,7,214,1680.1267239
Spain,293,GSM,-3.046,43.318,2020,3,214,2410.315256
Spain,294,GSM,-3.046,43.319,2020,3,214,2526.0923383
Spain,295,GSM,-3.046,43.344,2020,7,214,2834.073811
Spain,296,GSM,-3.045,43.307,2020,1,214,1147.9016291
Spain,297,GSM,-3.045,43.314,2020,1,214,1438.4125244
Spain,298,GSM,-3.045,43.316,2020,7,214,2019.7567647
Spain,299,GSM,-3.045,43.327,2020,1,214,1408.5377667
Spain,300,GSM,-3.045,43.336,2020,3,214,5436.510932
Spain,301,GSM,-3.045,43.337,2020,7,214,5846.170367
Spain,302,GSM,-3.045,43.344,2020,7,214,2907.896668
Spain,303,GSM,-3.045,43.345,2020,7,214,2202.0614180000002
Spain,304,GSM,-3.045,43.352,2020,7,214,171.489216
Spain,305,GSM,-3.045,43.373,2020,4,214,0.0
Spain,306,GSM,-3.044,43.319,2020,3,214,2824.5819632
Spain,307,GSM,-3.044,43.334,2020,1,214,4630.7605952
Spain,308,GSM,-3.044,43.336,2020,3,214,5641.013236
Spain,309,GSM,-3.043,43.201,2020,7,214,466.8502656
Spain,310,GSM,-3.043,43.316,2020,7,214,2196.9153063
Spain,311,GSM,-3.043,43.32,2020,3,214,3218.1002933
Spain,312,GSM,-3.042,43.307,2020,4,214,1623.2582455
Spain,313,GSM,-3.042,43.307,2020,7,214,1623.2582455
Spain,314,GSM,-3.042,43.321,2020,1,214,3552.0426581
Spain,315,GSM,-3.042,43.332,2020,1,214,4569.8068684
Spain,316,GSM,-3.042,43.333,2020,3,214,4952.5807201
Spain,317,GSM,-3.041,43.302,2020,1,214,921.2949063
Spain,318,GSM,-3.041,43.306,2020,7,214,1661.8679801
Spain,319,GSM,-3.041,43.307,2020,3,214,1728.7047513
Spain,320,GSM,-3.041,43.314,2020,7,214,1887.8830428
Spain,321,GSM,-3.041,43.328,2020,1,214,2977.0848629
Spain,322,GSM,-3.041,43.335,2020,3,214,5579.233272
Spain,323,GSM,-3.041,43.339,2020,1,214,5279.8530279999995
Spain,324,GSM,-3.041,43.344,2020,3,214,2854.489529
Spain,325,GSM,-3.041,43.349,2020,3,214,818.334101
Spain,326,GSM,-3.041,43.351,2020,4,214,563.791407
Spain,327,GSM,-3.04,43.206,2020,3,214,262.23200748
Spain,328,GSM,-3.04,43.208,2020,3,214,186.49144251
Spain,329,GSM,-3.04,43.305,2020,1,214,1538.3172251
Spain,330,GSM,-3.04,43.308,2020,3,214,1860.6254965
Spain,331,GSM,-3.04,43.313,2020,3,214,1754.6900491
Spain,332,GSM,-3.04,43.38,2020,3,214,0.0
Spain,333,GSM,-3.039,43.299,2020,1,214,510.0435096
Spain,334,GSM,-3.039,43.307,2020,3,214,1990.565688
Spain,335,GSM,-3.039,43.313,2020,1,214,2005.2974408
Spain,336,GSM,-3.039,43.313,2020,7,214,2005.2974408
Spain,337,GSM,-3.039,43.314,2020,1,214,2137.1284718
Spain,338,GSM,-3.039,43.321,2020,7,214,4386.1094175
Spain,339,GSM,-3.039,43.334,2020,3,214,6178.939354
Spain,340,GSM,-3.038,43.305,2020,7,214,1622.0279793
Spain,341,GSM,-3.038,43.329,2020,3,214,5457.727595
Spain,342,GSM,-3.038,43.33,2020,3,214,5751.201867
Spain,343,GSM,-3.038,43.332,2020,3,214,6440.821885
Spain,344,GSM,-3.038,43.339,2020,7,214,4184.24421
Spain,345,GSM,-3.038,43.356,2020,7,214,0.0
Spain,346,GSM,-3.037,43.304,2020,1,214,1489.6560444
Spain,347,GSM,-3.037,43.305,2020,4,214,1647.897482
Spain,348,GSM,-3.037,43.305,2020,7,214,1647.897482
Spain,349,GSM,-3.037,43.306,2020,1,214,1937.41847
Spain,350,GSM,-3.037,43.311,2020,1,214,2259.4615648
Spain,351,GSM,-3.037,43.313,2020,3,214,2498.7957461
Spain,352,GSM,-3.037,43.332,2020,1,214,6825.972315
Spain,353,GSM,-3.036,43.306,2020,4,214,1898.5586556
Spain,354,GSM,-3.036,43.308,2020,7,214,2237.955072
Spain,355,GSM,-3.036,43.31,2020,1,214,2253.9689187999998
Spain,356,GSM,-3.036,43.31,2020,4,214,2253.9689187999998
Spain,357,GSM,-3.036,43.315,2020,7,214,2769.4590361
Spain,358,GSM,-3.036,43.319,2020,7,214,4786.8532579
Spain,359,GSM,-3.036,43.321,2020,4,214,5695.937399
Spain,360,GSM,-3.036,43.322,2020,3,214,5924.163689
Spain,361,GSM,-3.036,43.33,2020,7,214,6729.332126
Spain,362,GSM,-3.036,43.331,2020,3,214,6997.915287
Spain,363,GSM,-3.036,43.332,2020,3,214,6998.212264
Spain,364,GSM,-3.036,43.333,2020,3,214,6908.766941
Spain,365,GSM,-3.036,43.335,2020,3,214,5972.25791
Spain,366,GSM,-3.036,43.35,2020,4,214,351.662371
Spain,367,GSM,-3.036,43.38,2020,4,214,25.283425700000002
Spain,368,GSM,-3.035,43.303,2020,4,214,1337.9884475
Spain,369,GSM,-3.035,43.303,2020,7,214,1337.9884475
Spain,370,GSM,-3.035,43.324,2020,7,214,6870.240815
Spain,371,GSM,-3.035,43.329,2020,7,214,6969.630597
Spain,372,GSM,-3.035,43.33,2020,3,214,7069.592008
Spain,373,GSM,-3.035,43.331,2020,7,214,7085.874299
Spain,374,GSM,-3.035,43.332,2020,7,214,7009.519346
Spain,375,GSM,-3.035,43.335,2020,7,214,5768.29279
Spain,376,GSM,-3.035,43.365,2020,7,214,365.2529666
Spain,377,GSM,-3.034,43.303,2020,3,214,1349.594483
Spain,378,GSM,-3.034,43.304,2020,3,214,1482.2051796
Spain,379,GSM,-3.034,43.306,2020,7,214,1721.4178431999999
Spain,380,GSM,-3.034,43.313,2020,1,214,3389.8720849
Spain,381,GSM,-3.034,43.314,2020,7,214,3488.2464706
Spain,382,GSM,-3.034,43.323,2020,7,214,7439.97354
Spain,383,GSM,-3.034,43.324,2020,3,214,7774.900547
Spain,384,GSM,-3.034,43.325,2020,3,214,7884.750283
Spain,385,GSM,-3.034,43.329,2020,1,214,7360.288581
Spain,386,GSM,-3.034,43.331,2020,3,214,7197.193817
Spain,387,GSM,-3.034,43.331,2020,4,214,7197.193817
Spain,388,GSM,-3.034,43.364,2020,4,214,336.590974
Spain,389,GSM,-3.034,43.382,2020,4,214,1.622997
Spain,390,GSM,-3.033,43.303,2020,7,214,1331.8848307
Spain,391,GSM,-3.033,43.31,2020,7,214,2489.9091701
Spain,392,GSM,-3.033,43.311,2020,3,214,3040.852182
Spain,393,GSM,-3.033,43.323,2020,7,214,7923.038315
Spain,394,GSM,-3.033,43.324,2020,1,214,8232.905668
Spain,395,GSM,-3.033,43.325,2020,1,214,8345.824507
Spain,396,GSM,-3.033,43.328,2020,3,214,8168.031698
Spain,397,GSM,-3.033,43.329,2020,7,214,7627.089595
Spain,398,GSM,-3.033,43.33,2020,7,214,7099.190189
Spain,399,GSM,-3.032,43.3,2020,1,214,846.5441796
Spain,400,GSM,-3.032,43.302,2020,3,214,1086.8762053
Spain,401,GSM,-3.032,43.312,2020,1,214,3867.4716699
Spain,402,GSM,-3.032,43.313,2020,7,214,4356.2176772
Spain,403,GSM,-3.032,43.32,2020,7,214,6721.887095
Spain,404,GSM,-3.032,43.328,2020,3,214,8270.000813999999
Spain,405,GSM,-3.032,43.329,2020,7,214,7736.373321
Spain,406,GSM,-3.032,43.33,2020,7,214,6952.998593
Spain,407,GSM,-3.032,43.34,2020,7,214,1486.746345
Spain,408,GSM,-3.031,43.308,2020,3,214,1922.8282168
Spain,409,GSM,-3.031,43.31,2020,1,214,3311.5396603
Spain,410,GSM,-3.031,43.31,2020,3,214,3311.5396603
Spain,411,GSM,-3.031,43.314,2020,7,214,5303.5234972
Spain,412,GSM,-3.031,43.32,2020,1,214,7296.844473
Spain,413,GSM,-3.031,43.324,2020,1,214,9184.341847
Spain,414,GSM,-3.031,43.325,2020,3,214,9057.462936
Spain,415,GSM,-3.031,43.326,2020,4,214,9031.285037
Spain,416,GSM,-3.031,43.328,2020,4,214,8295.635432
Spain,417,GSM,-3.031,43.328,2020,7,214,8295.635432
Spain,418,GSM,-3.031,43.329,2020,7,214,7507.357711
Spain,419,GSM,-3.031,43.33,2020,3,214,6577.449283
Spain,420,GSM,-3.03,43.301,2020,4,214,848.9010012
Spain,421,GSM,-3.03,43.31,2020,1,214,3954.9393296
Spain,422,GSM,-3.03,43.324,2020,4,214,9473.680586
Spain,423,GSM,-3.03,43.328,2020,1,214,7702.789702
Spain,424,GSM,-3.03,43.329,2020,1,214,6787.907026
Spain,425,GSM,-3.03,43.329,2020,7,214,6787.907026
Spain,426,GSM,-3.03,43.335,2020,1,214,2577.756718
Spain,427,GSM,-3.03,43.339,2020,3,214,1088.802606
Spain,428,GSM,-3.03,43.356,2020,7,214,0.0
Spain,429,GSM,-3.03,43.367,2020,7,214,1610.6642905
Spain,430,GSM,-3.03,43.377,2020,7,214,281.5599216
Spain,431,GSM,-3.029,43.301,2020,4,214,893.2633134
Spain,432,GSM,-3.029,43.327,2020,3,214,8359.675305
Spain,433,GSM,-3.029,43.327,2020,4,214,8359.675305
Spain,434,GSM,-3.029,43.327,2020,7,214,8359.675305
